brewery,satellite_location,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,production_data_2017,production_data_2022,closed_since_2022,untappd_profile_link
Fringe Brewing,,micro,5640 3rd Ave,Ferndale,98248,Whatcom,48.846042,-122.59303,2019,1,0,1,0,https://untappd.com/FrinGeBrewing
Future Primitive Brewing,,micro,9832 14th Ave Sw,Seattle,98106,King,47.51429325,-122.352378,2018,1,0,1,0,https://untappd.com/w/future-primitive-brewing/415188
Gallaghers Where U Brew,,micro,180 W Dayton St Suite #105,Edmonds,98020,Snohomish,47.8089416,-122.3867089,2005,0,0,0,0,https://untappd.com/w/gallaghers-where-u-brew/7847
Garden Path Fermentation,,micro,11653 Higgins Airport Way,Burlington,98233,Skagit,48.4764227,-122.41778,2018,1,0,1,0,https://untappd.com/GardenPathFermentation
Garland Brew Werks,,brewpub,603 W Garland Ave,Spokane,99205,Spokane,47.693348,-117.42031,2020,0,0,0,0,https://untappd.com/GarlandBrewWerks
Geaux Brewing,,micro,425 E Main St,Auburn,98002,King,47.3082013,-122.2232925,2013,0,1,1,0,https://untappd.com/GeauxBrewing
Genus Brewing,,regional,14109 E Sprague Ave #8,Spokane Valley,99216,Spokane,47.69331222,-117.4203837,2013,0,1,1,0,https://untappd.com/GenusBrewingCo
Georgetown Brewing Company,,micro,5200 Denver Ave S,Seattle,98108,King,47.55525135,-122.3255385,2003,1,1,1,0,https://untappd.com/gtb
Ghost Runners Brewery,,micro,4216 NE Minnehaha St #108,Vancouver,98661,Clark,45.668467,-122.628189,2012,0,1,0,0,https://untappd.com/GhostRunners
Ghostfish Brewing Company,,micro,2942 1St Ave S,Seattle,98134,King,47.57733551,-122.3340811,2015,1,1,1,0,https://untappd.com/GhostfishBrewingCompany
Gig Harbor Brewing,Tacoma,taproom,3120 S Tacoma Way,Tacoma,98409,Pierce,47.22806016,-122.4772681,2015,0,1,1,0,https://untappd.com/GigHarborBrewing
Gig Harbor Brewing,Gig Harbor,taproom,3155 Harborview Dr,Gig Harbor,98335,Pierce,47.32976288,-122.5813254,2015,0,1,1,0,https://untappd.com/GigHarborBrewing
Golden Handle Brewing Company,,micro,111 S Cedar St,Spokane,99201,Spokane,47.65622004,-117.4323539,2022,0,0,1,1,https://untappd.com/GoldenHandleProject
Good Brewing Company,,brewpub,5817 238th St SE #3,Woodinville,98072,King,47.78256587,-122.1547295,2017,0,1,1,0,https://untappd.com/GBC2017
Grains Of Wrath Brewing,,micro,425 NW Birch Street,Camas,98607,Clark,45.5856554,-122.4056,2018,1,0,1,0,https://untappd.com/GrainsOfWrath
Gruff Brewing Company,,micro,104 E Maple St #101,Bellingham,98225,Whatcom,48.74755229,-122.4821137,2015,0,1,1,0,https://untappd.com/GruffBrewingCompany
Halcyon Brewing,,micro,8564 Greenwood Ave N,Seattle,98103,King,47.69122874,-122.3551865,2022,1,0,1,0,https://untappd.com/HalcyonBrewingCo
Hale's Ales,,micro,4301 Leary Wy NW,Seattle,98107,King,47.659292,-122.3657039,1983,0,0,0,1,https://untappd.com/HalesAlesBrewery
Half Lion Brewing Company,,micro,1723 W Valley Hwy E Suite 101,Sumner,98390,Pierce,47.241157,-122.255376,2016,1,1,1,1,https://untappd.com/HalfLion
Haywire Brewing Company,,micro,12125 Treosti Rd,Snohomish,98290,Snohomish,47.91234558,-122.0900696,2017,0,1,0,0,https://untappd.com/HaywireBrewing
Headless Mumby Brewing Company,,micro,232 Division Street Northwest,Olympia,98502,Thurston,47.04650843,-122.9257366,2021,1,0,1,0,https://untappd.com/HeadlessMumbyBrewingCo
Headworks Brewing,,micro,1110 Marshall Ave,Enumclaw,98022,King,47.2045135,-121.9878259,2021,0,0,0,0,https://untappd.com/HeadworksBrewing
Heathen Brewing,Salmon Creek,micro,5612 NE 119th St,Vancouver,98686,Clark,45.7087312,-122.6136273,2012,1,0,1,0,https://untappd.com/HeathenBrewing
Heathen Brewing,Downton Vancouver,micro,1109 Washington Street,Vancouver,98660,Clark,45.6300071,-122.6723551,2012,1,0,1,0,https://untappd.com/HeathenBrewing
Hellbent Brewing Company,,micro,13035 Lake City Way Ne,Seattle,98125,King,47.72321374,-122.2931793,2015,1,1,1,0,https://untappd.com/HellbentBrewingCompany
Hemlock State Brewing Company,,contract brewer,23601 56th Ave W Suite 400,Mountlake Terrace,98043,Snohomish,47.784669,-122.30831,2016,1,1,1,0,https://untappd.com/Hemlock_State
Here Today Brewery and Kitchen,,micro,2815 Elliott Ave Suite 101,Seattle,98121,King,47.61486702,-122.3537311,2022,1,0,1,0,https://untappd.com/HereTodaySeattle_
Hideaway Brewing Company,,micro,18731 SE 314th St,Aurbun,98092,Kig,47.3208496,-122.176449,2014,0,1,1,1,https://untappd.com/HideawayBrewingCompany
High Steel Beer Company,,micro,233 S 1St St,Shelton,98584,Mason,47.21170988,-123.100443,1999,1,0,1,0,https://untappd.com/HighSteelBeerCo
Hildegard Ferments and Botanicals,,micro,1150 NW 46th St,Seattle,98107,King,47.6627151,-122.3718421,2023,1,0,0,0,https://untappd.com/HildegardFermentsBotanicals
Hoh River Brewery,,micro,2442 Mottman Rd Sw,Tumwater,98512,Thurston,47.0254333,-122.935464,2014,0,1,1,0,https://untappd.com/HohRiverBrewery
Holy Mountain Brewing Company,,brewpub,1421 Elliott Ave W,Seattle,98119,King,47.630821,-122.3740032,2014,0,1,1,0,https://untappd.com/HolyMountainBrewing
Hood Canal Brewery,,micro,26499 Bond Rd Ne,Kingston,98346,Kitsap,47.8038314,-122.5731593,1996,0,1,1,0,https://untappd.com/w/hood-canal-brewery/8254
Hop Chaos Brewing Company,,micro,10115 N Newport Hwy Suite A,Spokane,99218,Spokane,47.74870553,-117.4034444,2022,0,0,1,0,https://untappd.com/HopChaosBrewingCompany
Hops and Seed Brewing Company,,micro,9206 200th St SE Suite C-5,Snohomish,98290,Snohomish,47.7640209,-122.14992,2022,0,0,1,0,https://untappd.com/HopsAndSeedBrewery
Hopworks Urban Brewery,,micro,17707 SE Mill Plain Blvd,Vancouver,98683,Clark,45.61700233,-122.4953194,2007,0,1,0,0,https://untappd.com/HopworksBeer
Hoquiam Brewing Company,,micro,526 8th Street,Hoquiam,98550,Grays Harbor,46.97562514,-123.8861778,2018,0,1,1,0,https://untappd.com/HoquiamBrewing
Horse Heaven Hills Brewery,,micro,1118 Meade Ave,Prosser,99350,Benton,46.20447179,-119.7706356,2009,0,1,1,0,https://untappd.com/w/horse-heaven-hills-brewery/7268
Humble Abode Brewing,,brewpub,1620 E Houston Ave,Spokane,99217,Spokane,47.7167163,-117.3866532,2019,1,0,1,0,https://untappd.com/HumbleAbodeBrewing
Ice Harbor Brewing Company,downtown Kennewick,brewpub,10 E. Bruneau Avenue,Kennewick,99336,Benton,46.2109818,-119.1198261,1996,1,1,1,0,https://untappd.com/IceHarborBrewingCo
Ice Harbor Brewing Company,Clover Island,brewpub,350 Colver Island Dr,Kennewick,99336,Benton,46.21712032,-119.1112762,1996,1,1,1,0,https://untappd.com/IceHarborBrewingCo
Icicle Brewing Company,,brewpub,935 Front St,Leavenworth,98826,Chelan,47.59620095,-120.6596561,2011,1,1,1,0,https://untappd.com/iciclebrewing
Iconic Brewing,,micro,2470 Henderson Loop,Richland,99354,Benton,46.32272295,-119.3050306,1996,0,0,1,0,https://untappd.com/w/iconic-brewing/509207
In The Shadow Brewing,,micro,19731 Old Burn Rd,Arlington,98223,Snohomish,48.175899,-122.11277,2015,1,0,1,0,https://untappd.com/IN_The_Shadow_Brewing
Inland Ale Works,,brewpub,505 1St St,Cheney,99004,Spokane,47.48762901,-117.5748795,2018,0,0,1,0,https://untappd.com/InlandAleWorks
Iron Goat Brewing,,regional,1302 W 2nd Ave,Spokane,99201,Spokane,47.65452677,-117.4312846,2012,1,1,1,0,https://untappd.com/irongoatbrewing
Iron Horse Brewery,,micro,1000 Prospect St Suite 4,Ellensburg,98926,Kittitas,46.999581,-120.564737,2005,1,1,1,0,https://untappd.com/ironhorsebrewery
Irrelevant Beer,,micro,110 E 17th St,Vancouver,98660,Clark,45.6343758,-122.6711705,2023,0,0,0,0,https://untappd.com/IrrelevantBeer
Island Hoppin' Brewery,,micro,33 Hope Lane,Eastsound,98245,San Juan,48.70268029,-122.9152528,2011,1,1,1,0,https://untappd.com/IslandHoppinBrewery
Jellyfish Brewing Company,,micro,917 South Nebraska Street,Seattle,98108,King,47.54894045,-122.3202516,2017,1,1,1,0,https://untappd.com/Jellyfish_Brewing_Company
Jones Creek Brewing,,micro,173 Beam Rd,Chehalis,98532,Lewis,46.58829204,-123.2784835,1996,0,1,1,0,https://untappd.com/JonesCreek
Kulshan Brewing Company,Sunnyland Taproom,micro,2238 James Street,Bellingham,98225,Whatcom,48.75961551,-122.4647934,2012,1,1,1,0,https://untappd.com/KulshanBrewingCompany
Kulshan Brewing Company,Roosevelt (K2) Taproom,seasonal,1538 Kentucky Street,Bellingham,98225,Whatcom,48.7573938,-122.4536078,2012,1,1,1,0,https://untappd.com/KulshanBrewingCompany
Kulshan Brewing Company,downtown Bellingham waterfront,brewpub,298 W Laurel St,Bellingham,98225,Whatcom,48.7477082,-122.4850955,2012,1,1,1,0,https://untappd.com/KulshanBrewingCompany
La Conner Brewing Company,,planning,117 S First Box 397,La Conner,98257,Skagit,48.3917559,-122.49585,2002,0,0,0,0,https://untappd.com/LaConnerBrewingCompany
Ladd and Lass Brewing,,brewpub,722 NE 45th St,Seattle,98105,King,47.66139833,-122.3204876,2022,1,0,1,0,https://untappd.com/LaddandLassBrewing
Laht Neppur Brewing Company,,micro,444 Preston Ave,Waitsburg,99361,Walla Walla,46.270044,-118.148769,2006,0,1,1,0,https://untappd.com/LahtNeppurBrewing
Lake Chelan Brewery,,micro,50 Wapato Way,Manson,98831,Chelan,47.8852911,-120.1590444,2013,0,0,0,0,https://untappd.com/w/lake-chelan-brewing-company/37187
Lake Stevens Brewing Company,,micro,2010 Grade Rd,Lake Stevens,98258,Snohomish,48.01611239,-122.0632558,2012,1,1,1,0,https://untappd.com/Lake_Stevens_Brewing_Company
Lantern Brewing,,micro,938 N 95th Street,Seattle,98103,King,47.69789685,-122.346672,2011,0,1,1,0,https://untappd.com/LanternBrewing
Larrabee Lager Company,,micro,4151 Guide Meridian Rd #100,Bellingham,98226,Whatcom,48.79191656,-122.4905122,2023,1,0,0,0,https://untappd.com/w/larrabee-lager-company/546009
Lazy Boy Brewing,,taproom,715 100th St SE Suite A-1,Everett,98208,Snohomish,47.90816039,-122.2209379,2006,0,1,1,0,https://untappd.com/lazyboybrewing
Logan Brewing Company,,micro,510 SW 151St St,Burien,98166,King,47.4678566,-122.3409856,2021,1,0,1,0,https://untappd.com/LoganBrewingCompany
Loowit Brewing Company,,micro,507 Columbia Street,Vancouver,98660,Clark,45.6252334,-122.6736359,2012,1,1,1,0,https://untappd.com/LoowitBrewing
Lopez Island Brewing Company,,taproom,135 Lopez Road Suite B,Lopez Island,98261,San Juan,48.5227099,-122.9132288,2016,1,1,1,0,https://untappd.com/LopezIslandBrewingCompany
Lost Woods Brewery,,micro,28002 WA-410 suite 2,Buckley,98321,Pierce,47.15975658,-122.0559237,2017,0,1,1,0,https://untappd.com/LostWoodsBrewery
Lovecraft Brewing Company,,brewpub,275 5th Street Suite 101,Bremerton,98337,Kitsap,47.56640891,-122.6257846,2016,0,1,1,0,https://untappd.com/LoveCraftBrewingCompany
Lowercase Brewing,,micro,6235 Airport Way S,Seattle,98108,King,47.547723,-122.3146203,2014,1,1,1,0,https://untappd.com/Lowercasebeer
Lucky Envelope Brewing,,micro,907 NW 50th Street,Seattle,98107,King,47.66495806,-122.3688462,2015,1,1,0,0,https://untappd.com/LuckyEnvelopeBrewing
Lumber House Brewery,,micro,21830 284th Ave SE,Maple Valley,98038,King,47.32607774,-122.0103551,2015,0,1,1,0,https://untappd.com/LumberHouseBrewery
Lumberbeard Brewing,,regional,25 E 3rd Ave,Spokane,99202,Spokane,47.653684,-117.41007,2020,1,0,1,0,https://untappd.com/LumberbeardBrewing
Mac and Jack's Brewing Company,,micro,17825 NE 65th St,Redmond,98052,King,47.66369585,-122.102815,1993,1,1,1,0,https://untappd.com/MacJacksBrewingCompany
Machine House Brewery,,taproom,5718 Rainier Ave S,Seattle,98118,King,47.5507121,-122.277164,2013,1,1,1,0,https://untappd.com/MachineHouseBrewery
Maelstrom Brewing Company,,brewpub,11014 120th Ave Ne,Kirkland,98033,King,47.69913819,-122.1809653,2017,0,1,0,0,https://untappd.com/MaelstromBrewing
Magnuson Cafe and Brewery,,micro,7801 62nd Ave Ne,Seattle,98115,King,47.6881653,-122.2649134,2018,1,0,1,0,https://untappd.com/MagnusonCafeBrewery
Maritime Pacific Brewing Company,,brewpub,1111 NW Ballard Way,Seattle,98107,King,47.66284715,-122.371031,1990,1,1,0,0,https://untappd.com/MaritimePacificBrewingCompany
Masters Brewhouse,,micro,831 S Main St,Deer Park,99006,Spokane,47.945254,-117.4751514,2020,0,0,0,0,https://untappd.com/w/masters-brewhouse/420247
Matchless Brewing,,brewpub,8036 River Dr SE #208,Tumwater,98501,Thurston,46.9708364,-122.88502,2016,1,1,0,0,https://untappd.com/MatchlessBrewing
McMenamins Anderson School Brewery,,brewpub,18607 Bothell Way NE,Bothell,98011,King,47.76388,-122.2080688,1983,1,0,0,0,https://untappd.com/McMenamins
McMenamins East Vancouver Brewery,,brewpub,1900B NE 162nd Ave Ste B107,Vancouver,98684,Clark,45.63673,-122.50778,1983,1,0,0,0,https://untappd.com/McMenamins
McMenamins Elks Temple,,brewpub,565 Broadway,Tacoma,98402,Pierce,47.25926,-122.4420142,1983,1,0,0,0,https://untappd.com/McMenamins
McMenamins Kalama Harbor Lodge,,brewpub,215 N Hendrickson Dr,Kalama,98625,Cowlitz,46.01724,-122.8511351,1983,1,0,0,0,https://untappd.com/McMenamins
McMenamins Mill Creek Brewery,,brewpub,13300 Bothell Everett Hwy Ste 304,Mill Creek,98012,Snohomish,47.87784,-122.2083569,1983,1,0,0,0,https://untappd.com/McMenamins
McMenamins Olympic Club Brewery,,brewpub,112 N Tower Ave,Centralia,98531,Lewis,46.71642,-122.9541121,1983,1,0,0,0,https://untappd.com/McMenamins
McMenamins On the Columbia Brewery,,brewpub,1801 SE Columbia River Dr,Vancouver,98661,Clark,45.61545,-122.6530699,1983,1,0,0,0,https://untappd.com/McMenamins
McMenamins Queen Anne Brewery,,brewpub,200 Roy St Ste 105,Seattle,98109,King,47.62552,-122.352602,1983,1,0,0,0,https://untappd.com/McMenamins
McMenamins Six Arms Brewery,,brewpub,300 E Pike St,Seattle,98122,King,47.61416,-122.3276777,1983,1,0,0,0,https://untappd.com/McMenamins
McMenamins Spar Cafe Brewery,,micro,114 4th Ave E,Olympia,98501,Thurston,47.045,-122.9013738,1983,1,0,0,0,https://untappd.com/McMenamins
Meatheads Smokehouse and Beer Works,,taproom,8928 Vernon Rd,Lake Stevens,98258,Snohomish,48.00222135,-122.1098734,2021,0,0,1,1,https://untappd.com/Meatheads21
Menace Brewing,,taproom,2529 Meridian Street,Bellingham,98225,Whatcom,48.76355086,-122.4862211,2013,0,1,1,0,https://untappd.com/MenaceBrewing
Métier Brewing Company,,brewpub,14125 NE 189th St Suite B,Woodinville,98072,King,47.76422298,-122.1515601,2016,1,0,1,0,https://untappd.com/MetierBrewing
Middleton Brewing,,brewpub,607 Southeast Everett Mall Way,Everett,98208,Snohomish,47.91059997,-122.2248042,2013,0,1,1,0,https://untappd.com/MiddletonBrewingWA
Milepost 111 Brewing Company,,micro,407 Aplets Way,Cashmere,98815,Chelan,47.524234,-120.470178,2013,0,1,1,0,https://untappd.com/milepostbeer
Mirage Beer Company,,taproom,927 S Homer St,Seattle,98108,King,47.550523,-122.3191768,2017,0,1,0,0,https://untappd.com/MirageBeerCo
Monka Brewing Company,,taproom,17211 15th Ave Ne,Shoreline,98155,King,47.75412478,-122.3135273,2018,0,0,1,0,https://untappd.com/MonkaBrewey
Moonshot Brewing,,brewpub,8804 W Victoria Ave Ste 140,Kennewick,99336,Benton,46.228777,-119.240958,2019,1,0,0,0,https://untappd.com/Moonshot_Brewing
Mother Fern Brewing,,brewpub,610 Pacific Ave,Tacoma,98402,Pierce,47.25791576,-122.440158,2021,0,0,1,1,https://untappd.com/MotherFernBrewing
Mount Olympus Brewing,,taproom,105 W Heron St,Aberdeen,98520,Grays Harbor,46.97327712,-123.8171792,2018,0,0,1,0,https://untappd.com/MountOlympusBrewing
Mountain Lakes Brewing Company,,taproom,105 W Heron St,Spokane,99201,Spokane,47.657891,-117.413453,2018,1,0,0,0,https://untappd.com/MountainLakesBrewCo
Mule and Elk Brewing Company,,micro,418 E 1st St Suite 5,Cle Elum,98922,Kittitas,47.19383354,-120.9322128,2016,0,1,1,0,https://untappd.com/MuleElkBrewingCo
Narrows Brewing Company,,brewpub,9007 S 19th Street,Tacoma,98466,Pierce,47.24346569,-122.5564963,2013,1,1,1,0,https://untappd.com/NarrowsBrewing
Natural 20 Brewing Company,,micro,15310 E Marietta Ave Ste 4,Spokane Valley,99216,Spokane,47.680793,-117.198498,2022,0,0,1,0,https://untappd.com/Natural20BrewingCo
No Boat Brewing Company,,taproom,35214 SE Center Street #2,Snoqualmie,98065,King,47.5285744,-121.8707445,2016,1,1,0,0,https://untappd.com/NoBoatBrewingCompany
No Drought Brewing Company,,regional,10604 E 16th Ave,Spokane Valley,99206,Spokane,47.64233504,-117.2626058,2022,0,0,1,0,https://untappd.com/NoDroughtBrewingCo
No-Li Brewhouse,,taproom,1003 E Trent Box 2 Suite 180,Spokane,99202,Spokane,47.662698,-117.39419,2003,1,1,1,0,https://untappd.com/NoLiBrewhouse
North 47 Brewing Company,,brewpub,1000 Town Ctr NE #160,Tacoma,98422,Pierce,47.30098342,-122.4354485,2015,0,1,1,0,https://untappd.com/North47BrewingCo
North Fork Brewery,,taproom,6186 Mount Baker Hwy,Deming,98244,Whatcom,48.89023277,-122.1515053,1997,1,0,1,0,https://untappd.com/TheNorthForkBrewery
North Jetty Brewing,,taproom,4200 Pacific Way,Seaview,98017,King,46.33317158,-124.0546726,2014,1,1,1,0,https://untappd.com/NorthJettyBrewing
North Sound Brewing Company,,brewpub,17406 Washington 536,Mount Vernon,98273,Skagit,48.431553,-122.3702,2010,1,1,0,0,https://untappd.com/NorthSoundBrewingCompany
Northern Ales,,brewpub,325 W 3rd Ave,Kettle Falls,99141,Stevens,48.61016972,-118.059909,2014,0,1,1,1,https://untappd.com/NorthernAles
Northwest Brewing Company,,micro,610 Pacific Ave,Tacoma,98402,King,47.25788663,-122.4401044,2007,0,0,0,0,https://untappd.com/NorthwestBrewingCompany
Northwest Passage Craft Brewery,,taproom,605 Esther St,Vancouver,98660,Clark,45.62821741,-122.6727549,2017,0,1,0,0,https://untappd.com/NorthwestPassageCraftBrewery
Northwest Peaks Brewery,,brewpub,5718 Rainier Ave S,Seattle,98118,King,47.55099284,-122.2774345,2011,0,1,1,1,https://untappd.com/nwpeaksbrewery
Northwood Public House and Brewery,,micro,1401 SE Rasmussen Blvd #101,Battleground,98604,Clark,45.775079,-122.523019,2014,0,1,1,0,https://untappd.com/LittleDipperBrewingCompany
Nun Chuck's Brewing Company,,taproom,18609 76th Ave W C,Lynnwood,98037,Snohomish,47.82961976,-122.3372621,2006,0,0,1,0,https://untappd.com/w/nun-chucks-brewing-company/475764
Obec Brewing,,micro,1144 NW 52nd Street,Seattle,98107,King,47.6666932,-122.3725339,2017,1,1,1,0,https://untappd.com/ObecBrewing
Odd Otter Brewing Company,,micro,716 Pacific Ave,Tacoma,98402,Pierce,47.25677,-122.439519,2014,0,1,1,0,https://untappd.com/OddOtter
Odin Brewing Company,,taproom,402 Baker Blvd,Tukwila,98188,King,47.45871185,-122.2520593,2009,0,1,1,1,https://untappd.com/OdinBrewing
Off Camber Brewing,,taproom,6506 114th Ave Ct E,Puyallup,98372,Pierce,47.19825258,-122.2773277,2017,0,1,1,0,https://untappd.com/JamesTheBrewer
Ogres Brewing,,brewpub,7693 Cultus Bay Rd,Clinton,98236,Island,47.93163176,-122.389573,2019,1,1,1,0,https://untappd.com/w/ogres-brewing/261870
Old Schoolhouse Brewery,,brewpub,155 Riverside Dr Box 112,Winthrop,98862,Okanogan,48.4782175,-120.18652,1993,1,1,1,0,https://untappd.com/OldSchoolhouseBrewery
Old Stove Brewing Company,,taproom,1901 Western Avenue Suite A,Seattle,98101,King,47.61002,-122.343413,2016,1,1,1,0,https://untappd.com/w/old-stove-brewing-co/246787
Optimism Brewing Company,,brewpub,1158 Broadway,Seattle,98122,King,47.61280703,-122.3205273,2015,0,1,1,1,https://untappd.com/OptimismBrewing
Otherlands Beer,,taproom,2121 Humboldt St,Bellingham,98225,Whatcom,48.75847585,-122.4681985,2021,0,0,1,0,https://untappd.com/OtherlandsBeer
Outer Planet Craft Brewing,,brewpub,1812 12th Avenue Suite 100,Seattle,98122,King,47.61783778,-122.3167738,2015,1,1,1,0,https://untappd.com/OuterPlanetBrewing
Outlander Brewery and Pub,,brewpub,225 N 36th St,Seattle,98103,King,47.652371,-122.355414,2012,0,1,1,0,https://untappd.com/OutlanderBrewing
Packwood Brewing Company,,nano,12298 US-12,Packwood,98361,Lewis,46.60570825,-121.6712647,2022,0,0,0,0,https://untappd.com/w/packwood-brewing-co/405350
Paddle Brewing Company,,brewpub,23021 SE 58th St,Issaquah,98029,King,47.550431,-122.032156,2019,0,0,0,1,https://untappd.com/PaddleBrewingCompany
Paper Street Brewing Company,,taproom,241 Fanning Rd,Pasco,99301,Franklin,46.309907,-119.214113,2016,0,1,1,0,https://untappd.com/PaperStreetBrewingCo
Paradise Creek Brewery,Downtown Restaurant,taproom,245 SE Paradise St,Pullman,99163,Whitman,46.72873725,-117.1803011,2010,1,1,1,0,https://untappd.com/paradisecreek
Paradise Creek Brewery,Trailside Taproom,micro,505 SE Riverside St,Pullman,99163,Whitman,46.72593287,-117.169861,2010,1,1,1,0,https://untappd.com/paradisecreek
Paramour Brewing Company,,brewpub,6520 S Waneta Rd,Spokane,99223,Spokane,47.59421849,-117.3564973,2021,0,0,1,0,https://untappd.com/w/paramour-brewing/457368
Parker's Steakhouse and Brewery,,brewpub,1300 Mount Saint Helens Way Ne,Castle Rock,98611,Cowlitz,46.28728,-122.898885,2013,0,0,0,0,https://untappd.com/w/parker-s-steakhouse-brewery/44535
Pastime Brewery,,taproom,1307 Main St,Oroville,98844,Okanogan,48.93758103,-119.4363202,2020,0,1,1,0,https://untappd.com/w/past-time-brewing/107617
Peace of Mind Brewing,,micro,18411 Hwy 99,Lynnwood,98037,Snohomish,47.83174875,-122.3058165,2023,1,0,1,0,https://untappd.com/Peace_Of_Mind_Brewing
Peddler Brewing Company,,brewpub,1514 NW Leary Way,Seattle,98107,King,47.66387586,-122.3771003,2013,0,0,0,0,https://untappd.com/PeddlerBrewing
Penn Cove Brewing Company,,micro,103 S Main St,Coupeville,98239,Island,48.2109786,-122.685896,2015,0,0,0,1,https://untappd.com/PennCoveBrewingCo
Perfect Circle Brewing,,brewpub,713 6th Street,Prosser,99350,Benton,46.20462657,-119.7691094,2021,0,0,1,0,https://untappd.com/PerfectCircleBrewing
Perihelion Brewery,,brewpub,2800 16th Ave S,Seattle,98144,King,47.578506,-122.311929,2016,1,1,0,0,https://untappd.com/Perihelion-Brewery
Perry Street Brewing,,micro,1025 S Perry St,Spokane,99202,Spokane,47.64604873,-117.3898042,2014,1,0,1,0,https://untappd.com/w/perry-street-brewing/115199
Pike Brewing Company,,micro,1415 1st Ave,Seattle,98101,King,47.608001,-122.3394073,1989,1,1,0,0,https://untappd.com/pikebrewing
Port Townsend Brewing Company,,micro,330 10th St Suite C,Port Townsend,98368,Jefferson,48.1074022,-122.7809758,2001,0,1,1,0,https://untappd.com/porttownsendbrewing
Postdoc Brewing,,taproom,17625 NE 65th St #100,Redmond,98052,King,47.66392308,-122.1050753,2014,1,1,1,0,https://untappd.com/PostdocBrewingCompany
Potlatch Brewing Company,,brewpub,24180 US-101,Hoodsport,98548,Mason,47.40491678,-123.141186,2021,0,0,1,0,https://untappd.com/w/potlatch-brewing/500440
Powerhouse Restaurant and Brewery,,nano,454 E Main,Puyallup,98372,Pierce,47.19158631,-122.2879828,2005,1,1,1,0,https://untappd.com/PowerhouseRestaurantBrewery
Precious Things Fermentation Project,,taproom,8403 N Bruce Rd,Spokane,99217,Spokane,47.73390559,-117.2865852,2018,1,0,1,0,https://untappd.com/Preciousthingsbeer
Project 9 Brewing,,taproom,1409 NE 80th St,Seattle,98115,King,47.6864758,-122.3130665,2023,0,0,0,0,https://untappd.com/project9brewing
Propolis Brewing,,taproom,2457 Jefferson St,Port Townsend,98368,Jefferson,48.1086174,-122.773463,2013,0,1,1,0,https://untappd.com/PropolisBrewing
Quartzite Brewing Company,,taproom,105 W Main St,Chewelah,99109,Stevens,48.27595137,-117.7169469,2016,1,1,1,0,https://untappd.com/QuartziteBrewingCompany
Quirk Brewing,,taproom,425 B St,Walla Walla,99362,Walla Walla,46.0901597,-118.27695,2016,0,1,1,0,https://untappd.com/QuirkBrewing
Rail Hop'n Brewing Company,,brewpub,122 West Main Street Suite 101 B,Auburn,98001,King,47.3071471,-122.2315213,2017,0,1,1,0,https://untappd.com/RailHopnBrewingCompany
Railside Brewing,,micro,309 NE 76th St,Vancouver,98665,Clark,45.6768255,-122.66818,2012,0,1,1,0,https://untappd.com/RailSideBrewing
Rainy Daze Brewing,,brewpub,650 NW Bovela Ln #3,Poulsbo,98370,Kitsap,47.73971613,-122.6578393,2012,0,1,1,0,https://untappd.com/RainyDazeBrewing
RAM Restaurant and Brewery,,brewpub,10520 Quil Ceda Blvd,Tulalip,98271,Snohomish,48.0920236,-122.18619,1971,1,1,1,0,https://untappd.com/theRAM
RAM Restaurant and Brewery,,brewpub,3001 N Ruston Way,Tacoma,98403,Pierce,47.27964127,-122.4747009,1971,1,1,1,0,https://untappd.com/theRAM
RAM Restaurant and Brewery,,brewpub,103 35th Ave Se,Puyallup,98374,Pierce,47.15857171,-122.292781,1971,1,1,1,0,https://untappd.com/theRAM
RAM Restaurant and Brewery,,brewpub,10019 59th Ave Sw,Lakewood,98499,Pierce,47.16646601,-122.5154303,1971,1,1,1,0,https://untappd.com/theRAM
RAM Restaurant and Brewery,,brewpub,9020 Market Pl,Lake Stevens,98258,Snohomish,47.99798107,-122.1101016,1971,1,1,1,0,https://untappd.com/theRAM
RAM Restaurant and Brewery,,brewpub,8100 Freedom Lane Ne,Lacey,98516,Thurston,47.062162,-122.768971,1971,1,1,1,0,https://untappd.com/theRAM
RAM Restaurant and Brewery,,brewpub,512 Ramsay Way Ste 4-103,Kent,98032,King,47.3853319,-122.2349867,1971,1,1,1,0,https://untappd.com/theRAM
RAM Restaurant and Brewery,,brewpub,965 NE Park Drive,Issaquah,98029,King,47.542944,-122.017035,1971,1,1,1,0,https://untappd.com/theRAM
Rattlesnake Mountain Brewing Company,,taproom,2696 N Columbia Center Blvd,Richland,99352,Benton,46.237587,-119.221937,1999,0,1,1,0,https://untappd.com/w/rattlesnake-mountain-brewing-company/15572
Ravenna Brewing Company,,taproom,5408 26th Ave Ne,Seattle,98105,King,47.66814202,-122.2994354,2015,0,1,1,0,https://untappd.com/RavennaBrewingCo
Recluse Brewing,,regional,4035 Grant St Suite 102,Washougal,98671,Clark,45.56246607,-122.326347,2023,1,0,0,0,https://untappd.com/RecluseBrewWorks
Redhook Brewlab,,brewpub,714 E Pike St,Seattle,98122,King,47.61413993,-122.3230889,1982,0,0,0,0,https://untappd.com/Redhook
Remlinger Farm Brewery,,brewpub,32610 NE 32nd St,Carnation,98014,King,47.63908563,-121.9021766,2022,1,0,1,0,https://untappd.com/w/remlinger-brewing/521350
